Epoch,Accuracy,Precision,Recall,F1 score,AUC score,Avg False Positive,Avg False Negative,fair value_TP,deal price_TP,discounted cash flow_TP,market efficiency_TP,stock price_TP,market multiples_TP,analyst price target_TP,multiples-based valuation_TP,abnormal return_TP,irrelevant_TP,fair value_TN,deal price_TN,discounted cash flow_TN,market efficiency_TN,stock price_TN,market multiples_TN,analyst price target_TN,multiples-based valuation_TN,abnormal return_TN,irrelevant_TN,fair value_FP,deal price_FP,discounted cash flow_FP,market efficiency_FP,stock price_FP,market multiples_FP,analyst price target_FP,multiples-based valuation_FP,abnormal return_FP,irrelevant_FP,fair value_FN,deal price_FN,discounted cash flow_FN,market efficiency_FN,stock price_FN,market multiples_FN,analyst price target_FN,multiples-based valuation_FN,abnormal return_FN,irrelevant_FN
33,0.9176747311827956,0.9475138678011753,0.9177545691906005,0.9258907418486871,0.6211128901349545,6.3,6.3,2,7,11,4,0,1,0,0,0,678,762,745,718,751,761,761,765,766,765,37,1,12,32,3,2,0,0,0,0,13,1,2,5,8,3,4,1,0,1,38
34,0.9529569892473119,0.9480722188197287,0.9530026109660574,0.9480604574804888,0.5954978410896314,3.6,3.6,2,4,8,6,0,1,0,0,0,709,762,756,742,752,761,759,765,766,765,30,1,1,8,2,2,2,0,0,0,20,1,5,8,6,3,4,1,0,1,7
35,0.9438424059139785,0.9404882118123936,0.943864229765013,0.940634560315409,0.5656805452590218,4.3,4.3,2,4,8,5,0,0,0,0,0,704,761,751,741,750,760,760,765,765,765,33,2,6,9,4,3,1,0,1,0,17,1,5,8,7,3,5,1,0,1,12
36,0.9360299059139785,0.9443175623332282,0.9360313315926893,0.9360822962616707,0.5720670052023574,4.9,4.9,1,5,9,4,0,1,0,0,0,697,762,749,732,753,760,760,765,766,765,33,1,8,18,1,3,1,0,0,0,17,2,4,7,8,3,4,1,0,1,19
37,0.9490507392473119,0.9477033700271298,0.9490861618798956,0.9439612619890105,0.583401871139473,3.9,3.9,2,4,8,4,0,1,0,0,0,708,762,752,740,754,761,760,765,766,765,30,1,5,10,0,2,1,0,0,0,20,1,5,8,8,3,4,1,0,1,8
38,0.9451444892473119,0.952159367678249,0.9451697127937336,0.9425923324727951,0.5925098542343749,4.2,4.2,2,4,10,4,0,1,0,0,0,703,762,750,737,754,760,761,765,766,765,32,1,7,13,0,3,0,0,0,0,18,1,5,6,8,3,4,1,0,1,13
39,0.9516549059139785,0.9507669488329664,0.9516971279373369,0.9467870918695032,0.5959912735671106,3.7,3.7,2,5,9,4,0,1,0,0,0,708,762,752,741,754,761,760,765,766,765,31,1,5,9,0,2,1,0,0,0,19,1,4,7,8,3,4,1,0,1,8
40,0.9529569892473119,0.9521010851312018,0.9530026109660574,0.9488313580302046,0.6020379058704063,3.6,3.6,2,5,9,5,0,1,0,0,0,708,762,751,742,754,761,760,765,766,765,32,1,6,8,0,2,1,0,0,0,18,1,4,7,7,3,4,1,0,1,8
41,0.9529569892473119,0.9521010851312018,0.9530026109660574,0.9488313580302046,0.6020379058704063,3.6,3.6,2,5,9,5,0,1,0,0,0,708,762,751,742,754,761,760,765,766,765,32,1,6,8,0,2,1,0,0,0,18,1,4,7,7,3,4,1,0,1,8
42,0.9516549059139785,0.9514867401765099,0.9516971279373369,0.9471139846341337,0.5959902868227872,3.7,3.7,2,5,9,4,0,1,0,0,0,708,762,751,741,754,761,760,765,766,765,32,1,6,9,0,2,1,0,0,0,18,1,4,7,8,3,4,1,0,1,8
43,0.9516549059139785,0.9489679258622724,0.9516971279373369,0.9469883231661284,0.5959907920646718,3.7,3.7,2,5,9,4,0,1,0,0,0,708,762,751,742,753,761,760,765,766,765,32,1,6,8,1,2,1,0,0,0,18,1,4,7,8,3,4,1,0,1,8
44,0.9516549059139785,0.9489679258622724,0.9516971279373369,0.9469883231661284,0.5959907920646718,3.7,3.7,2,5,9,4,0,1,0,0,0,708,762,751,742,753,761,760,765,766,765,32,1,6,8,1,2,1,0,0,0,18,1,4,7,8,3,4,1,0,1,8
45,0.9516549059139785,0.9501492916015291,0.9516971279373369,0.9480150842586815,0.6020381663660742,3.7,3.7,2,5,9,5,0,1,0,0,0,707,762,751,743,753,760,760,765,766,765,32,1,6,7,1,3,1,0,0,0,18,1,4,7,7,3,4,1,0,1,9
46,0.9529569892473119,0.9501812571477893,0.9530026109660574,0.9486754447273092,0.6020384111122908,3.6,3.6,2,5,9,5,0,1,0,0,0,708,762,751,743,753,761,760,765,766,765,32,1,6,7,1,2,1,0,0,0,18,1,4,7,7,3,4,1,0,1,8
47,0.9503528225806451,0.9470997283250149,0.9503916449086162,0.9454027948498845,0.59143313566878,3.8,3.8,2,5,8,4,0,1,0,0,0,708,762,751,742,753,761,760,765,766,765,31,1,6,8,1,2,1,0,0,0,19,1,4,8,8,3,4,1,0,1,8
48,0.9477906586021506,0.9462962225580472,0.9477806788511749,0.9419495897659548,0.5819163945895561,4.0,4.0,2,4,9,3,0,1,0,0,0,707,762,752,742,753,760,761,765,766,765,28,1,5,8,1,3,0,0,0,0,22,1,5,7,9,3,4,1,0,1,9
49,0.954217069892473,0.9521296490268913,0.9543080939947781,0.9492409001670937,0.6020402301802845,3.5,3.5,2,5,9,5,0,1,0,0,0,709,763,755,741,754,761,760,765,766,765,29,0,2,9,0,2,1,0,0,0,21,1,4,7,7,3,4,1,0,1,7
50,0.938550067204301,0.9448566078762293,0.9386422976501305,0.9381901775862687,0.5656714159896675,4.7,4.7,1,5,7,6,0,1,0,0,0,699,762,746,738,754,761,760,765,765,765,31,1,11,12,0,2,1,0,1,0,19,2,4,9,6,3,4,1,0,1,17
51,0.946362567204301,0.9489856588474652,0.9464751958224543,0.9439254204728016,0.5696669503163441,4.1,4.1,1,5,8,6,0,1,0,0,0,704,763,751,740,754,760,760,765,765,765,30,0,6,10,0,3,1,0,1,0,20,2,4,8,6,3,4,1,0,1,12
52,0.9490507392473119,0.9511128945416628,0.9490861618798956,0.9466150762749637,0.5936253358566845,3.9,3.9,2,6,7,6,0,1,0,0,0,705,763,747,746,753,760,760,765,765,765,31,0,10,4,1,3,1,0,1,0,19,1,3,9,6,3,4,1,0,1,11
